"PVWatts Hourly PV Performance Data"
"Requested Location","symlar"
"Location","Lat, Lng: 34.33, -118.46"
"Latitude (DD)","34.33"
"Longitude (DD)","-118.46"
"Elevation (m)","655.79998779297"
"DC System Size (kW)","4000"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","9","15","170","257","16","3.4","0.15","355.797","22.742","1211043.797","1152277.45"
"4","9","16","131","156","14","3.3","0.15","201.151","17.872","686647.712","646462.804"
"4","9","17","0","7","12","2.6","0.15","6.475","12.14","19482.189","2937.607"
"4","9","18","0","0","10","2.1","0.15","0","10","0","0"
"4","9","19","0","0","9","1.8","0.15","0","9","0","0"
"4","9","20","0","0","9","1.4","0.15","0","9","0","0"
"4","9","21","0","0","9","1","0.15","0","9","0","0"
"4","9","22","0","0","9","0.7","0.15","0","9","0","0"
"4","9","23","0","0","8","0.7","0.15","0","8","0","0"
"4","10","0","0","0","8","0.7","0.15","0","8","0","0"
"4","10","1","0","0","8","0.7","0.15","0","8","0","0"
"4","10","2","0","0","8","0.6","0.15","0","8","0","0"
"4","10","3","0","0","8","0.5","0.15","0","8","0","0"
"4","10","4","0","0","8","0.4","0.15","0","8","0","0"
"4","10","5","0","0","8","0.5","0.15","0","0","0","0"
"4","10","6","0","20","8","0.9","0.15","18.524","8.58","60051.203","42069.099"
"4","10","7","166","172","9","1.1","0.15","236.967","16.05","820804.808","775866.18"
"4","10","8","281","261","10","1.2","0.15","441.645","22.818","1510307.011","1440936.578"
"4","10","9","23","279","11","1.5","0.15","283.347","18.627","956208.453","906471.936"
"4","10","10","115","423","12","1.8","0.15","525.486","25.241","1746039.924","1668316.537"
"4","10","11","330","434","12","2.2","0.15","777.303","30.078","2547472.705","2441351.368"
"4","10","12","174","461","12","2.5","0.15","639.601","26.04","2120509.281","2029516.956"
"4","10","13","175","422","12","2.9","0.15","585.893","23.992","1963180.663","1877763.116"
"4","10","14","0","119","11","3.1","0.15","111.096","13.198","371417.877","342402.815"
"4","10","15","0","143","11","3.1","0.15","133.796","13.655","454600.871","422638.304"
"4","10","16","0","117","10","2.8","0.15","109.206","12.289","375778.94","346609.348"
"4","10","17","226","71","9","1.9","0.15","98.678","11.356","295000.343","268693.058"
"4","10","18","0","0","8","1.2","0.15","0","8","0","0"
"4","10","19","0","0","8","1","0.15","0","8","0","0"
"4","10","20","0","0","7","1","0.15","0","7","0","0"
"4","10","21","0","0","6","1.1","0.15","0","6","0","0"
"4","10","22","0","0","6","1.2","0.15","0","6","0","0"
"4","10","23","0","0","5","1.3","0.15","0","5","0","0"
"4","11","0","0","0","5","1.4","0.15","0","5","0","0"
"4","11","1","0","0","5","1.5","0.15","0","5","0","0"
"4","11","2","0","0","5","1.7","0.15","0","5","0","0"
"4","11","3","0","0","5","2","0.15","0","5","0","0"
"4","11","4","0","0","5","2.2","0.15","0","5","0","0"
"4","11","5","0","0","5","2.8","0.15","0","0","0","0"
"4","11","6","447","66","7","3.6","0.15","147.936","9.594","440958.846","409479.671"
"4","11","7","751","81","10","4.1","0.15","405.439","16.918","1413451.461","1347513.005"
"4","11","8","849","99","12","4.1","0.15","650.736","23.141","2255585.232","2159806.629"
"4","11","9","902","112","14","4","0.15","852.832","28.774","2863580.558","2746258.263"
"4","11","10","533","333","15","3.8","0.15","849.025","30.089","2799808.54","2684745.941"
"4","11","11","8","177","16","3.7","0.15","174.487","19.133","573479.628","537304.715"
"4","11","12","153","461","17","3.7","0.15","618.549","28.122","2032568.163","1944691.942"
"4","11","13","351","387","17","3.7","0.15","719.488","29.969","2368916.825","2269122.433"
"4","11","14","3","160","16","3.6","0.15","152.329","18.784","503848.825","470141.208"
"4","11","15","282","246","15","3.5","0.15","416.789","22.781","1427003.37","1360584.717"
"4","11","16","0","30","14","3","0.15","27.817","14.564","89597.48","70568.434"
"4","11","17","0","4","11","1.9","0.15","3.699","11.092","10901.945","0"
"4","11","18","0","0","9","0.9","0.15","0","9","0","0"
"4","11","19","0","0","8","0.7","0.15","0","8","0","0"
"4","11","20","0","0","8","0.7","0.15","0","8","0","0"
"4","11","21","0","0","7","0.7","0.15","0","7","0","0"
"4","11","22","0","0","7","0.8","0.15","0","7","0","0"
"4","11","23","0","0","6","0.8","0.15","0","6","0","0"
"4","12","0","0","0","6","0.9","0.15","0","6","0","0"
"4","12","1","0","0","5","1.1","0.15","0","5","0","0"
"4","12","2","0","0","5","1.2","0.15","0","5","0","0"
"4","12","3","0","0","5","1.4","0.15","0","5","0","0"
"4","12","4","0","0","5","1.6","0.15","0","5","0","0"
"4","12","5","0","0","6","2.5","0.15","0","0","0","0"
"4","12","6","453","66","8","3.4","0.15","150.067","10.716","446430.785","414757.717"
"4","12","7","694","97","12","3.2","0.15","398.3","19.794","1374228.042","1309679.429"
"4","12","8","812","115","15","3","0.15","644.623","28.077","2190978.346","2097489.022"
"4","12","9","878","125","18","2.9","0.15","851.824","35.531","2784672.99","2670146.704"
"4","12","10","942","115","20","2.6","0.15","1002.805","41.726","3175419.562","3047047.572"
"4","12","11","956","117","21","1.9","0.15","1074.22","47.62","3307870.031","3174804.793"
"4","12","12","958","114","22","1.1","0.15","1067.351","53.689","3205813.935","3076364.951"
"4","12","13","948","106","22","1.1","0.15","982.366","51.191","2996223.42","2874201.061"
"4","12","14","908","102","22","1.5","0.15","822.959","44.29","2604253.587","2496120.278"
"4","12","15","837","95","21","2","0.15","609.057","35.867","2013599.833","1926395.734"
"4","12","16","728","75","19","2","0.15","359.337","27.702","1181399.069","1123683.153"
"4","12","17","487","47","16","1.5","0.15","114.992","18.87","296278.241","269925.675"
"4","12","18","0","0","13","1.4","0.15","0","13","0","0"
"4","12","19","0","0","12","1.6","0.15","0","12","0","0"
"4","12","20","0","0","11","1.7","0.15","0","11","0","0"
"4","12","21","0","0","10","1.7","0.15","0","10","0","0"
"4","12","22","0","0","9","1.7","0.15","0","9","0","0"
"4","12","23","0","0","9","1.7","0.15","0","9","0","0"
"4","13","0","0","0","8","1.7","0.15","0","8","0","0"
"4","13","1","0","0","8","1.7","0.15","0","8","0","0"
"4","13","2","0","0","8","1.7","0.15","0","8","0","0"
"4","13","3","0","0","7","1.8","0.15","0","7","0","0"
"4","13","4","0","0","7","1.9","0.15","0","7","0","0"
"4","13","5","0","0","8","2.5","0.15","0","0","0","0"
"4","13","6","63","81","11","3.1","0.15","87.306","12.722","286649.871","260638.477"
"4","13","7","338","158","15","2.5","0.15","300.699","21.643","1025254.175","973071.093"
"4","13","8","445","227","19","1.7","0.15","519.217","32.457","1719851.607","1643056.176"
"4","13","9","902","108","21","1.3","0.15","850.978","45.124","2678310.285","2567552.853"
"4","13","10","549","331","22","1.6","0.15","862.396","44.751","2683244.699","2572312.42"
"4","13","11","581","349","23","2","0.15","947.908","45.968","2924812.635","2805320.644"
"4","13","12","444","388","22","2.5","0.15","847.441","40.635","2669673.375","2559221.982"
"4","13","13","556","318","22","2.8","0.15","844.611","39.63","2686153.584","2575118.232"
"4","13","14","338","327","21","2.5","0.15","597.328","34.164","1945861.227","1861057.377"
"4","13","15","56","243","19","1.8","0.15","267.601","25.773","888998.894","841643.879"
"4","13","16","111","160","18","1.2","0.15","196.67","23.706","655788.983","616697.521"
"4","13","17","0","48","16","1","0.15","44.447","17.354","143223.402","122294.177"
"4","13","18","0","0","14","1.2","0.15","0","14","0","0"
"4","13","19","0","0","13","1.3","0.15","0","13","0","0"
"4","13","20","0","0","12","1.3","0.15","0","12","0","0"
"4","13","21","0","0","12","1.3","0.15","0","12","0","0"
"4","13","22","0","0","11","1.2","0.15","0","11","0","0"
"4","13","23","0","0","11","1.2","0.15","0","11","0","0"
"4","14","0","0","0","10","1.2","0.15","0","10","0","0"
"4","14","1","0","0","10","1.2","0.15","0","10","0","0"
"4","14","2","0","0","10","1.2","0.15","0","10","0","0"
"4","14","3","0","0","9","1.2","0.15","0","9","0","0"
"4","14","4","0","0","9","1.1","0.15","0","9","0","0"
"4","14","5","0","0","10","1.4","0.15","0","0","0","0"
"4","14","6","229","78","11","1.6","0.15","118.032","14.042","366011.749","337188.247"
"4","14","7","172","180","13","1.5","0.15","248.041","19.715","848191.992","802282.927"
"4","14","8","519","202","15","1.5","0.15","542.936","29.711","1821420.867","1741026.434"
"4","14","9","541","271","16","2","0.15","725.002","33.608","2374744.666","2274743.771"
"4","14","10","374","390","17","2.9","0.15","750.685","32.381","2446679.938","2344130.09"
"4","14","11","446","396","18","3.7","0.15","860.517","33.502","2786547.725","2671955.01"
"4","14","12","15","266","18","4.5","0.15","266.868","22.276","878012.232","831046.517"
"4","14","13","12","234","18","5.4","0.15","231.921","21.318","765117.29","722151.892"
"4","14","14","0","56","17","6.1","0.15","52.1","17.689","165721.213","143994.802"
"4","14","15","72","251","15","6.5","0.15","284.973","18.622","975692.649","925265.729"
"4","14","16","678","99","12","7","0.15","363.346","16.375","1249843.103","1189701.942"
"4","14","17","450","58","9","6.8","0.15","120.299","10.386","332784.55","305138.42"
"4","14","18","0","0","7","5.6","0.15","0","7","0","0"
"4","14","19","0","0","6","4.5","0.15","0","6","0","0"
"4","14","20","0","0","5","3.9","0.15","0","5","0","0"
"4","14","21","0","0","5","3.4","0.15","0","5","0","0"
"4","14","22","0","0","4","3.1","0.15","0","4","0","0"
"4","14","23","0","0","3","2.8","0.15","0","3","0","0"
"4","15","0","0","0","3","2.7","0.15","0","3","0","0"
"4","15","1","0","0","2","2.8","0.15","0","2","0","0"
"4","15","2","0","0","2","2.8","0.15","0","2","0","0"
"4","15","3","0","0","2","2.6","0.15","0","2","0","0"
"4","15","4","0","0","2","2.4","0.15","0","2","0","0"
"4","15","5","0","0","3","3.1","0.15","0","0","0","0"
"4","15","6","565","61","5","4.6","0.15","170.072","7.578","507867.116","474017.114"
"4","15","7","812","77","7","5.6","0.15","433.697","13.103","1537717.96","1467376.248"
"4","15","8","904","92","8","6.1","0.15","682.426","17.098","2417321.27","2315811.716"
"4","15","9","951","103","9","6.3","0.15","887.998","20.553","3071484.23","2946795.081"
"4","15","10","489","353","10","6.2","0.15","828.359","20.852","2824044.634","2708123.254"
"4","15","11","568","358","11","6.1","0.15","943.951","23.498","3177277.652","3048839.822"
"4","15","12","592","332","11","5.9","0.15","937.232","23.693","3155733.16","3028058.737"
"4","15","13","219","424","12","5.6","0.15","626.449","20.77","2126516.04","2035310.872"
"4","15","14","889","126","13","5.5","0.15","835.911","24.908","2849101.956","2732292.695"
"4","15","15","823","112","12","5.4","0.15","617.492","20.926","2159389.754","2067019.739"
"4","15","16","726","86","11","4.8","0.15","369.058","16.705","1266867.574","1206123.168"
"4","15","17","478","54","9","3.3","0.15","120.549","11.157","327761.748","300293.596"
"4","15","18","0","0","7","2","0.15","0","7","0","0"
"4","15","19","0","0","6","1.8","0.15","0","6","0","0"
"4","15","20","0","0","5","1.7","0.15","0","5","0","0"
"4","15","21","0","0","5","1.6","0.15","0","5","0","0"
"4","15","22","0","0","4","1.6","0.15","0","4","0","0"
"4","15","23","0","0","3","1.7","0.15","0","3","0","0"
"4","16","0","0","0","3","1.9","0.15","0","3","0","0"
"4","16","1","0","0","3","2.2","0.15","0","3","0","0"
"4","16","2","0","0","2","2.5","0.15","0","2","0","0"
"4","16","3","0","0","2","2.9","0.15","0","2","0","0"
"4","16","4","0","0","2","3.3","0.15","0","2","0","0"
"4","16","5","0","0","3","3.9","0.15","0","0","0","0"
"4","16","6","576","60","5","4.6","0.15","172.483","7.615","515573.972","481450.886"
"4","16","7","793","81","8","5","0.15","430.889","14.523","1520371.568","1450644.509"
"4","16","8","887","96","11","5","0.15","678.722","21.301","2366348.952","2266645.55"
"4","16","9","935","108","14","4.7","0.15","880.987","27.86","2964933.551","2844019.917"
"4","16","10","961","116","16","4.4","0.15","1024.47","32.751","3357017.458","3222210.732"
"4","16","11","970","120","17","4.3","0.15","1092.815","35.102","3534525.875","3333333.333"
"4","16","12","966","121","18","4.3","0.15","1083.021","35.941","3493091.197","3333333.333"
"4","16","13","953","115","18","4.4","0.15","996.161","34.292","3249602.645","3118602.053"
"4","16","14","915","109","17","4.3","0.15","835.301","30.873","2784980.987","2670443.788"
"4","16","15","852","97","16","4.1","0.15","619.829","26.616","2122904.281","2031827.092"
"4","16","16","749","77","15","3.7","0.15","369.467","21.656","1243913.008","1183981.974"
"4","16","17","507","50","12","2.6","0.15","120.964","14.425","319909.272","292719.364"
"4","16","18","0","0","9","1.6","0.15","0","9","0","0"
"4","16","19","0","0","8","1.5","0.15","0","8","0","0"
"4","16","20","0","0","7","1.5","0.15","0","7","0","0"
"4","16","21","0","0","7","1.6","0.15","0","7","0","0"
"4","16","22","0","0","6","1.6","0.15","0","6","0","0"
"4","16","23","0","0","6","1.6","0.15","0","6","0","0"
"4","17","0","0","0","5","1.6","0.15","0","5","0","0"
"4","17","1","0","0","5","1.6","0.15","0","5","0","0"
"4","17","2","0","0","5","1.7","0.15","0","5","0","0"
"4","17","3","0","0","5","1.8","0.15","0","5","0","0"
